Code,School Name,Street,Suburb,State,Postcode,Postal Street,Postal Suburb,Postal State,Postal Postcode,Latitude,Longitude,Courier Code,Phone,Education Region,Broad Classification,Classification Group,KIN,PPR,Y01,Y02,Y03,Y04,Y05,Y06,Y07,Y08,Y09,Y10,Y11,Y12,USE,Total Students
5001,ADAM ROAD PRIMARY SCHOOL,HOTCHIN STREET,SOUTH BUNBURY,WA,6230,HOTCHIN STREET,SOUTH BUNBURY,WA,6230,-33.357951,115.635371,POST,08 9796 3000,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS,44,66,59,47,69,67,72,59,0,0,0,0,0,0,0,483
1397,AL-HIDAYAH ISLAMIC SCHOOL,CNR HEDLEY ST/NYAMUP WAY,BENTLEY,WA,6102,PO BOX 761,VICTORIA PARK,WA,6979,-32.01035814,115.9115641,POST,08 9351 8593,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,0,28,33,27,28,30,31,20,0,0,0,0,0,0,0,197
8001,ALBANY COMMUNITY KINDERGARTEN,136 SERPENTINE ROAD,ALBANY,WA,6330,PO BOX 5670,ALBANY,WA,6332,-35.02145966,117.88098687,POST,08 9841 1864,SOUTH WEST,Community Kindergartens,COMMUNITY KINDERGARTENS,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
5002,ALBANY PRIMARY SCHOOL,SUFFOLK STREET,ALBANY,WA,6330,SUFFOLK STREET,ALBANY,WA,6330,-35.01821151,117.8916106,POST,08 9842 7400,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS,39,57,59,61,59,64,93,65,0,0,0,0,0,0,0,497
6151,ALBANY SECONDARY EDUCATION SUPPORT CENTRE,65 ANSON ROAD,ALBANY,WA,6330,65 ANSON ROAD,ALBANY,WA,6330,-34.99074882,117.8668674,POST,08 9841 4900,SOUTH WEST,Education Support Centres,EDUCATION SUPPORT,0,0,0,0,0,0,0,0,9,10,8,6,6,7,0,46
4001,ALBANY SENIOR HIGH SCHOOL,1 CAMPBELL ROAD,ALBANY,WA,6330,1 CAMPBELL ROAD,ALBANY,WA,6330,-35.02044765,117.8917733,POST,08 9841 0444,SOUTH WEST,Senior High Schools,SECONDARY SCHOOLS,0,0,0,0,0,0,0,0,178,188,166,195,195,139,0,1061
5693,ALINJARRA PRIMARY SCHOOL,33 NORTHUMBERLAND AVENUE,ALEXANDER HEIGHTS,WA,6064,33 NORTHUMBERLAND AVENUE,ALEXANDER HEIGHTS,WA,6064,-31.82962571,115.87014015,POST,08 9342 3388,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,37,48,59,54,49,61,48,39,0,0,0,0,0,0,0,395
1488,ALKIMOS BAPTIST COLLEGE,60 SEAGROVE BOULEVARD,MERRIWA,WA,6030,PO BOX 72,QUINNS ROCKS,WA,6030,-31.66032819,115.71017847,POST,08 9406 8189,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,5,11,7,2,10,13,19,12,30,21,24,27,7,7,0,195
5848,ALKIMOS BEACH PRIMARY SCHOOL,200 LEATHERBACK BOULEVARD,ALKIMOS,WA,6038,200 LEATHERBACK BOULEVARD,ALKIMOS,WA,6038,-31.626524,115.680669,POST,08 9561 7200,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,60,46,42,27,30,29,26,10,0,0,0,0,0,0,0,270
5844,ALKIMOS PRIMARY SCHOOL,340 BENENDEN AVENUE,ALKIMOS,WA,6038,340 BENENDEN AVENUE,ALKIMOS,WA,6038,-31.62699105,115.70265726,POST,08 9562 9800,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,76,76,60,69,47,40,34,31,0,0,0,0,0,0,0,433
1277,ALL SAINTS' COLLEGE,28 EWING AVENUE,BULL CREEK,WA,6149,PO BOX 165,WILLETTON,WA,6955,-32.04946998,115.86702296,POST,08 9313 9333,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,95,48,48,47,53,56,87,80,135,141,139,146,146,132,0,1353
5006,ALLANSON PRIMARY SCHOOL,CAMERON STREET,ALLANSON,WA,6225,CAMERON STREET,ALLANSON,WA,6225,-33.33580893,116.099005,POST,08 9735 2800,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS,5,21,7,16,14,12,11,13,0,0,0,0,0,0,0,99
5007,ALLENDALE PRIMARY SCHOOL,52 WITTENOOM STREET,GERALDTON,WA,6530,52 WITTENOOM STREET,GERALDTON,WA,6530,-28.76430303,114.6237354,POST,08 9964 1888,MIDWEST,Primary Schools,PRIMARY SCHOOLS,37,42,47,43,48,64,41,55,0,0,0,0,0,0,0,377
